OPERATING_SYSTEM,operating_system
0,Unknown
1,Windows
2,Windows
3,Windows
4,Windows
5,Windows
6,Android
7,Others
8,Others
9,Others
10,Others
11,Others
12,Others
13,Windows
14,Windows
15,Android
16,Android
17,Android
18,Android
19,Android
20,Android
21,Android
22,Android
23,Android
24,Android
25,Android
26,Android
27,Android
28,Android
29,Android
30,Android
31,Android
32,Android
33,Android
34,Android
35,Android
36,Android
37,Android
38,Android
39,Android
40,Android
41,Android
42,Android
43,Android
44,Android
45,Android
46,Android
47,iOS
48,iOS
49,iOS
50,iOS
51,iOS
52,iOS
53,iOS
54,iOS
55,iOS
56,iOS
57,iOS
58,iOS
59,iOS
60,iOS
61,iOS
62,iOS
63,iOS
64,iOS
65,iOS
66,iOS
67,iOS
68,iOS
69,iOS
70,iOS
71,iOS
72,iOS
73,iOS
74,iOS
75,iOS
76,iOS
77,iOS
78,iOS
79,iOS
80,iOS
81,Others
82,Others
83,Others
84,Others
85,Others
86,Others
87,Others
88,Others
89,Windows
90,Windows
91,Windows
92,Windows
93,Windows
94,Others
95,Windows
96,Windows
97,Windows
98,Windows
99,Others
100,Others
101,Others
102,Windows
108,Others
109,Others
110,Others
111,Others
112,Others
113,Android
114,Android
115,iOS
116,iOS
117,iOS
118,iOS
119,Others
120,iOS
121,iOS
124,iOS
125,Windows
126,Windows
127,Windows
128,iOS
129,iOS
130,Android
134,Windows
135,iOS
136,iOS
137,Windows
138,iOS
139,iOS
140,iOS
141,Android
142,Android
143,iOS
144,iOS
147,Others
148,Others
150,iOS
151,Windows
152,iOS
153,iOS
154,iOS
155,Android
156,Android
157,Android
158,iOS
159,iOS
160,iOS
161,iOS
162,Others
163,iOS
164,Others
165,Windows
166,iOS
167,iOS
168,iOS
169,iOS
170,Android
171,Others
172,iOS
173,iOS
174,iOS
175,iOS
176,Android
177,iOS
178,iOS
179,iOS
180,iOS
181,iOS
182,Others
183,Others
184,iOS
185,iOS
186,Others
187,iOS
188,Others
189,Others
190,iOS
191,iOS
192,Others
193,iOS
194,iOS
195,Android
196,Others
197,Others
198,Others
199,Others
200,iOS
201,Others
202,Others
203,iOS
204,Others
205,Others
206,iOS
207,Others
208,Others
209,Others
210,Others
211,iOS
212,Others
213,iOS
214,iOS
215,Others
216,Others
217,iOS
218,iOS
219,iOS
220,Others
221,iOS
222,Others
223,iOS
224,Others
225,Others
226,iOS
227,iOS
228,Android
229,Others
230,Others
231,iOS
232,iOS
233,iOS
234,Others
235,Others
236,Windows
237,iOS
238,Others
239,iOS
240,iOS
241,iOS
242,iOS
243,iOS
244,iOS
245,Others
246,Others
247,iOS
249,iOS
250,iOS
251,iOS
252,iOS
253,iOS
254,Others
255,Others
256,iOS
257,Others
258,Others
259,iOS
260,iOS
261,Others
262,Others
263,Others
264,iOS
265,iOS
266,Others
267,iOS
268,Others
269,iOS
270,Others
271,iOS
272,Others
273,Others
274,iOS
275,iOS
276,iOS
277,iOS
278,Others
279,iOS
280,iOS
281,iOS
282,Others
283,iOS
284,iOS
285,Others
286,Android
287,iOS
288,Others
289,iOS
290,iOS
291,Others
292,Others
293,iOS
