GEO_REGION,geo_region
CA,very_high_volume
TX,very_high_volume
FL,very_high_volume
GA,high_volume
NY,high_volume
TN,high_volume
ON,high_volume
PA,high_volume
OH,high_volume
NC,high_volume
IL,high_volume
QC,high_volume
CO,high_volume
VA,high_volume
MI,high_volume
NJ,high_volume
KS,high_volume
MD,high_volume
WA,high_volume
MA,high_volume
MO,high_volume
IN,high_volume
WI,medium_volume
SC,medium_volume
CT,medium_volume
7,medium_volume
MN,medium_volume
AZ,medium_volume
2,medium_volume
AL,medium_volume
LA,medium_volume
OR,medium_volume
IA,medium_volume
KY,medium_volume
16,medium_volume
OK,medium_volume
4,medium_volume
5,medium_volume
ME,medium_volume
AR,medium_volume
BC,medium_volume
NV,medium_volume
19,medium_volume
NE,medium_volume
UT,medium_volume
AB,medium_volume
TG,medium_volume
MS,medium_volume
NH,medium_volume
WV,medium_volume
NM,medium_volume
MT,medium_volume
HI,medium_volume
ID,medium_volume
G5,medium_volume
DC,medium_volume
DE,medium_volume
A7,medium_volume
N7,medium_volume
F2,medium_volume
1,medium_volume
E4,medium_volume
RI,medium_volume
F8,medium_volume
8,medium_volume
ND,medium_volume
H2,medium_volume
I9,medium_volume
D4,medium_volume
P6,medium_volume
SD,medium_volume
VT,medium_volume
MB,medium_volume
28,medium_volume
H9,medium_volume
U8,medium_volume
V2,medium_volume
I2,medium_volume
C3,medium_volume
6,medium_volume
N5,medium_volume
M9,medium_volume
NS,medium_volume
H3,medium_volume
K2,medium_volume
0,medium_volume
C6,medium_volume
H8,medium_volume
WY,medium_volume
J9,medium_volume
NB,medium_volume
D3,medium_volume
J1,medium_volume
10,medium_volume
E6,low_volume
P3,low_volume
SK,low_volume
H7,low_volume
V1,low_volume
J7,low_volume
A2,low_volume
M3,low_volume
B9,low_volume
P8,low_volume
D8,low_volume
H5,low_volume
A8,low_volume
E7,low_volume
B7,low_volume
C9,low_volume
AK,low_volume
E2,low_volume
D9,low_volume
D6,low_volume
Q1,low_volume
M8,low_volume
P7,low_volume
Q4,low_volume
E1,low_volume
L9,low_volume
P5,low_volume
T5,low_volume
V8,low_volume
B8,low_volume
C4,low_volume
N6,low_volume
B4,low_volume
C7,low_volume
V3,low_volume
W5,low_volume
X5,low_volume
J8,low_volume
